audit_case_id,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,reviewer,unblind_notes
AI064,true,true,true,LLM_research_audit,"The box encloses the reference page-1 table whose candidate version is resized and shifted. The low layout/typography pattern with partial content fidelity is plausible for the visible tabular re-rendering."
AI065,false,true,true,LLM_research_audit,"The cyan box covers all three figures and captions rather than localizing a caption-level difference. The scores plausibly preserve content while penalizing broad layout and glyph changes."
AI066,false,true,false,LLM_research_audit,"The box encloses the entire first-page prose block and is not useful for identifying the modest reflow. High content with moderate layout and typography fidelity is consistent with the visually preserved two-page document."
AI067,false,true,true,LLM_research_audit,"The enclosure spans the entire algorithm page and does not identify the failed nesting or quoted variable notation. Medium content and very low layout/typography are directionally consistent with the unstructured reconstruction."
AI068,false,true,true,LLM_research_audit,"The box is almost the whole reference formula page and does not distinguish the four raw-command failures. Low content, layout, and typography scores correctly signal the visible mathematics breakdown."
AI069,false,true,true,LLM_research_audit,"The cyan frame covers the full paper rather than the duplicated cross-reference sentence or relabeled citations. High content with poor layout and moderate typography remains plausible because most text is preserved."
AI070,false,true,true,LLM_research_audit,"The enclosure is a full-page content box and does not isolate a defect. Moderate-to-high content with low layout and typography is plausible for five intact displays moved into a tighter composition."
AI071,false,true,true,LLM_research_audit,"The residual box spans the complete reference page rather than the removed label text and redundant figure reference. High content with weak layout/typography is directionally consistent with the readable candidate."
AI072,false,true,true,LLM_research_audit,"The box encloses the entire formula page instead of the four raw-text expressions. Low content, layout, and typography scores plausibly reflect the dominant formula-rendering failure."
AI073,true,true,true,LLM_research_audit,"The box selects reference page 2 and its structured table, which disappears as a separate page in the flattened one-page candidate. Partial content with near-zero layout, typography, and pagination is visually supported."
AI074,true,false,true,LLM_research_audit,"The cyan box usefully encloses the page-3 table whose candidate version is smaller. The low pagination score is not plausible because both documents preserve three corresponding pages and the table remains on page 3."
AI075,true,true,true,LLM_research_audit,"The box identifies the reference's page-2 algorithm, which is repaginated onto candidate page 1. Preserved content with low layout and pagination fidelity correctly reflects the line-number and page-break changes."
AI076,false,true,true,LLM_research_audit,"The residual enclosure covers the full reference content and does not identify any individual formula. Moderate content with low layout and typography is plausible for intact mathematics under global rescaling."
AI077,false,true,true,LLM_research_audit,"The box spans all five aligned groups rather than a localized change. The axis pattern plausibly separates retained formula content from substantial whole-page layout and type-scale drift."
AI078,false,true,true,LLM_research_audit,"The cyan frame is page-wide and does not isolate the duplicated equation wording. Very high content with moderate appearance and weak layout is consistent with the otherwise intact compact paper."
AI079,false,true,true,LLM_research_audit,"The enclosure covers the complete prose page rather than the removed raw prefix or compact heading changes. High content with low layout/typography is directionally consistent with the reflow."
AI080,false,true,true,LLM_research_audit,"The box is a full-page frame and misses the fragmented subtitle as a discrete target. Very high content and low layout/typography remain plausible because the figure and caption are retained."
AI081,false,true,true,LLM_research_audit,"The cyan box spans the whole reference page rather than the redundant figure-reference sentence. Content remains relatively high while layout and typography are low, matching the broad re-rendering."
AI082,false,true,true,LLM_research_audit,"The top box targets the sparse reference title/table page and does not localize the candidate's dense overlap on page 2. Low layout, typography, and pagination with moderate content is nevertheless a plausible axis pattern for the failure."
AI083,false,true,false,LLM_research_audit,"The enclosure covers nearly the entire reference letter and does not isolate omitted, renamed, or invented fields. High content with low layout and moderate typography is plausible because the main body remains while semantic fields drift."
AI084,false,true,true,LLM_research_audit,"The box is an entire algorithm-page enclosure rather than a nesting-specific region. Medium content with very low layout and typography plausibly reflects preserved tokens but corrupted numbering and hierarchy."
AI085,false,true,true,LLM_research_audit,"The whole-page box does not isolate citation-key substitution or the added section number. High content with weak layout and typography is directionally consistent with the readable but relabeled paper."
AI086,false,true,true,LLM_research_audit,"The residual frame spans the complete list page and does not identify a discrete defect. High content and low layout/typography are plausible for a fully preserved list under compact reflow."
AI087,false,true,true,LLM_research_audit,"The enclosure is page-wide and does not localize the black missing-glyph block in Extracted Prose 1. High content with low layout and typography is plausible because most text remains despite the local corruption."
AI088,true,true,true,LLM_research_audit,"The box selects reference page 3 and the second table, whose candidate counterpart is moved to page 2 and overflows at the bottom. High token content with very low layout/typography and poor pagination is visually supported."
AI089,true,true,true,LLM_research_audit,"The box identifies reference page 2 containing later mathematical displays that are collapsed into raw text on candidate page 1. Low content, layout, typography, and pagination correctly characterize the conversion."
AI090,true,false,true,LLM_research_audit,"The box usefully encloses the page-2 table whose candidate counterpart is drastically reduced. The depressed pagination score is not plausible because both documents retain three corresponding pages and no page-break defect is visible."
AI091,false,true,true,LLM_research_audit,"The cyan box covers the entire prose page instead of a localized region. Near-perfect content with weak layout and moderate appearance is consistent with a readable compact reconstruction."
AI092,false,true,true,LLM_research_audit,"The enclosure is a whole-page formula frame and does not isolate the three raw-code expressions. Low content, layout, and typography plausibly reflect the mixed rendered/raw result."
AI093,false,true,true,LLM_research_audit,"The box tightly surrounds most of reference page 1 but remains a broad content-frame residual rather than a diagnostic location. High content with low layout and moderate typography is plausible for the denser two-page paper."
AI094,true,true,true,LLM_research_audit,"The cyan box encloses candidate page 3, an added table page absent from the one-page reference. High content with near-zero layout/typography and poor pagination is directionally consistent with the overflow and repagination."
AI095,true,true,true,LLM_research_audit,"The box selects reference page 2 where later aligned displays occur, while the candidate collapses all five expressions into raw text on page 1. Very low content, layout, typography, and pagination are supported by the rendering."
AI096,true,true,true,LLM_research_audit,"The box encloses the reference page-2 algorithm, whose candidate version becomes a plain numbered list split across two pages. Very low content, layout, and typography correctly signal the structural and notation loss."
AI097,true,true,true,LLM_research_audit,"The box identifies the reference page-2 algorithm that is moved onto candidate page 1. Partial content retention with near-zero layout and pagination plausibly represents the changed hierarchy and page break."
AI098,true,true,true,LLM_research_audit,"The enclosure correctly selects the candidate's extra nearly empty third page containing only signature lines. Poor layout and pagination with fairly high content is consistent with the preserved CV text and orphaned footer."
AI099,true,true,true,LLM_research_audit,"The box selects reference page 2 and its first table, which is flattened with the second table into candidate page-1 prose. Partial content with near-zero layout, typography, and pagination is visually supported."
AI100,true,true,true,LLM_research_audit,"The cyan box encloses the candidate's added page-3 table and its overlapped bottom rows. High token content with near-zero layout and pagination plausibly distinguishes retained values from unusable table geometry."
AI101,false,true,true,LLM_research_audit,"The residual enclosure is an entire reference content block and does not isolate any defect. High content with weak layout and typography is plausible for the preserved prose and corrected title rendering."
AI102,false,true,true,LLM_research_audit,"The cyan frame spans the full reference algorithm page rather than the compressed run-on box in the candidate. Medium content with zero layout and low typography plausibly reflects the lost line and comment structure."
AI103,false,true,false,LLM_research_audit,"The box is nearly the full reference letter and does not isolate the missing date and signature. High content with weak layout and moderate typography is plausible because all other letter sections remain."
AI104,true,false,true,LLM_research_audit,"The box usefully encloses the page-3 benchmark table whose candidate version is much narrower. A zero pagination score is not plausible because both documents retain three corresponding pages and the table remains on page 3."
