audit_case_id,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,reviewer,unblind_notes
AI025,false,false,true,codex_researcher_b,"The residual is a whole-page text frame. The prose and equations are retained with ordinary reflow, so the zero layout and very low typography scores overstate the difference."
AI026,false,true,true,codex_researcher_b,"The box spans most of the page rather than isolating lost numbering and indentation. The low content and layout scores reasonably reflect conversion of structured pseudocode into a flattened boxed list."
AI027,true,false,true,codex_researcher_b,"The cyan box correctly identifies the missing second reference page. Pagination and layout capture the two-to-one-page consolidation, but the low content score is not credible because the formulas remain intact."
AI028,false,true,false,codex_researcher_b,"The residual covers most of the third page rather than a discrete form field. Moderate content with poor layout is plausible for a radically reorganized three-page CV, and the canvas sequence itself matches."
AI029,false,false,true,codex_researcher_b,"The enclosure is a page-wide registration frame. The single list item is faithfully rendered with mild reflow, so zero layout and very low typography are substantially too harsh."
AI030,false,true,true,codex_researcher_b,"The residual covers the whole body rather than the raw-versus-rendered math and citation differences. High content with weak visual axes is plausible because the candidate preserves meaning while changing the reference's visibly raw tokens."
AI031,false,true,true,codex_researcher_b,"The box is page-wide and does not localize an individual equation. The very low content and visual scores agree with all five formulas appearing as raw source-like text."
AI032,false,true,true,codex_researcher_b,"The residual encloses the complete figure stack rather than the malformed captions. High content with near-zero layout and typography is directionally plausible for preserved placeholders that are heavily compressed and mislabeled."
AI033,false,true,false,codex_researcher_b,"The residual covers nearly the entire letter, not the omitted date and moved address blocks. High content with weak spatial scores is plausible, and canvas sequence match indicates no canvas confound."
AI034,false,false,true,codex_researcher_b,"The residual is a whole-page formula frame. All five formulas are rendered and semantically retained with moderate compaction, so the low content and near-zero visual scores are implausible."
AI035,false,true,true,codex_researcher_b,"The cyan frame covers the complete paper body rather than the reconstructed mathematics. Moderate content and poor visual axes are reasonable because generic placeholders in the reference become specific equations and duplicated labels in the candidate."
AI036,false,true,true,codex_researcher_b,"The residual is page-wide rather than localized. The low content and visual scores are supported by four expressions degrading into raw command text."
AI037,false,true,true,codex_researcher_b,"The box covers the full algorithm body instead of isolating malformed lines. The low content, layout, and typography axes are visually consistent with lost hierarchy and extensive raw math commands."
AI038,false,true,true,codex_researcher_b,"The residual is a broad page frame. High content with very poor layout and typography is plausible because the mathematics is retained but list numbering, grouping, and page density change substantially."
AI039,false,true,true,codex_researcher_b,"The residual covers the entire first-page body rather than a particular reconstructed table. The axes plausibly capture preserved prose with a major transformation from placeholder text to bordered tables and altered page allocation."
AI040,false,false,true,codex_researcher_b,"The residual is a page-wide text frame. The prose is faithfully retained with only moderate reflow, so zero layout and very low typography overstate the visible defect."
AI041,false,true,true,codex_researcher_b,"The residual covers the whole paper body rather than the citation and label defects. High content with weak layout and typography is plausible for source-key citations, duplicated section labels, and strong reflow."
AI042,false,true,true,codex_researcher_b,"The enclosure is a whole-page registration frame. The score pattern reasonably reflects retained prose together with citation-key substitutions, duplicated labels, and substantial spatial change."
AI043,false,true,true,codex_researcher_b,"The residual spans the entire list body rather than the replaced unresolved references. Moderate-to-high content with weak visual axes is plausible because named keys replace question marks and the text block is strongly rescaled."
AI044,false,true,true,codex_researcher_b,"The residual covers the complete figure stack rather than individual caption defects. High content with very low layout and appearance is directionally supported by severe compaction and inconsistent caption math."
AI045,false,false,true,codex_researcher_b,"The box is a page-wide registration frame. The three-item list is faithfully preserved with mild reflow, so zero layout and very low typography and appearance are too punitive."
AI046,true,true,true,codex_researcher_b,"The cyan enclosure identifies the missing second reference page. The low content and visual axes are justified by both the page collapse and four expressions rendered as raw source text."
AI047,true,true,true,codex_researcher_b,"The residual selects the second-page conclusion region whose content is redistributed into a dense first page and a small orphan tail. High content with zero layout, typography, and pagination is directionally consistent with preserved prose but broken page flow."
AI048,false,true,true,codex_researcher_b,"The residual is a broad page-content frame. High content with weak visual axes is plausible for retained figure content whose title and caption math are reconstructed and whose layout is heavily compressed."
AI049,false,false,true,codex_researcher_b,"The residual is a whole-page frame. All ten list items are faithfully preserved with ordinary reflow, so zero layout and low typography are not credible measures of the visible quality."
AI050,true,true,true,codex_researcher_b,"The cyan box marks the extra third candidate page containing the displaced second table. High content with low pagination and layout is plausible for preserved table values split from two pages into three."
AI051,false,true,true,codex_researcher_b,"The residual covers the entire figure stack instead of the malformed caption math. High content with very low layout, typography, and appearance is supported by strong compaction and raw caption tokens."
AI052,false,true,false,codex_researcher_b,"The residual covers nearly the whole letter and does not localize the missing date or repositioned blocks. High content with weak spatial axes is plausible, and the matched canvas sequence removes the canvas confound."
